#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"IPAddress","ScopeId","ClientID","HostName","AddressState","LeaseExpiryTime"
"10.10.6.1","10.10.6.0","34-48-ed-33-ba-49","PC001078.AlkaloidAD.local","Active","3/13/2025 11:45:44 AM"
"10.10.6.2","10.10.6.0","8c-04-ba-9b-c7-df","PC001264.AlkaloidAD.local","Active","3/13/2025 7:32:49 AM"
"10.10.6.3","10.10.6.0","4c-d7-17-52-8b-c8","PC000857.AlkaloidAD.local","Active","3/13/2025 7:34:59 AM"
"10.10.6.5","10.10.6.0","cc-96-e5-c4-d3-13","PC000546.AlkaloidAD.local","Active","3/13/2025 7:41:20 AM"
"10.10.6.6","10.10.6.0","ac-91-a1-71-c7-8e","PC001096.AlkaloidAD.local","Active","3/13/2025 7:35:18 AM"
"10.10.6.7","10.10.6.0","e4-54-e8-8b-65-45","PCAUZ9038.AlkaloidAD.local","ActiveReservation",
"10.10.6.8","10.10.6.0","18-db-f2-3f-93-0e","PCAUZ10049.AlkaloidAD.local","InactiveReservation",
"10.10.6.9","10.10.6.0","28-00-af-92-8e-51","PC000891.AlkaloidAD.local","Active","3/13/2025 9:59:38 AM"
"10.10.6.10","10.10.6.0","f8-4e-17-d7-3e-3b",,"Active","3/11/2025 8:34:05 AM"
"10.10.6.11","10.10.6.0","74-78-27-a0-5c-fc","PC001200.AlkaloidAD.local","Active","3/12/2025 8:22:44 AM"
"10.10.6.12","10.10.6.0","8c-04-ba-9b-89-94","PCAUZ5086.AlkaloidAD.local","Active","3/13/2025 7:27:23 AM"
"10.10.6.13","10.10.6.0","10-98-19-cb-57-07","PC001287.AlkaloidAD.local","Active","3/13/2025 7:47:33 AM"
"10.10.6.15","10.10.6.0","cc-96-e5-08-85-75","PC000494.AlkaloidAD.local","ActiveReservation",
"10.10.6.16","10.10.6.0","e4-54-e8-8b-62-13","PC000965.AlkaloidAD.local","ActiveReservation",
"10.10.6.17","10.10.6.0","ec-f4-bb-61-d0-5d","PCAUZ5070.AlkaloidAD.local","InactiveReservation",
"10.10.6.18","10.10.6.0","64-00-6a-6a-0d-a4","PCAUZ6085.AlkaloidAD.local","InactiveReservation",
"10.10.6.19","10.10.6.0","74-78-27-a0-5a-02","PC000967.AlkaloidAD.local","Active","3/13/2025 7:37:37 AM"
"10.10.6.20","10.10.6.0","b8-85-84-9e-7e-80","PC000092.AlkaloidAD.local","ActiveReservation",
"10.10.6.21","10.10.6.0","e4-b9-7a-31-87-cf","PC000083.AlkaloidAD.local","Active","3/13/2025 7:32:50 AM"
"10.10.6.22","10.10.6.0","a4-bb-6d-3f-96-7e","PCAUZ11019.AlkaloidAD.local","Active","3/11/2025 7:52:27 AM"
"10.10.6.24","10.10.6.0","6c-3c-8c-11-87-7d","PC000393.AlkaloidAD.local","ActiveReservation",
"10.10.6.25","10.10.6.0","98-e7-43-8a-e7-39","PC000082.AlkaloidAD.local","Active","3/11/2025 9:08:09 AM"
