#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"HostName","TimeStamp","TimeToLive","RecordType","IP","CName"
"@","01.3.2025 04:00:00","00:10:00","A","10.10.50.2",
"@","03.3.2025 16:00:00","00:10:00","A","10.10.50.3",
"@","28.2.2025 19:00:00","00:10:00","A","10.10.50.1",
"@","27.2.2025 01:00:00","00:10:00","A","10.50.23.100",
"@","02.3.2025 17:00:00","00:10:00","A","10.15.50.11",
"@","05.3.2025 10:00:00","00:10:00","A","10.15.50.1",
"@",,"01:00:00","NS",,
"@",,"01:00:00","NS",,
"@",,"01:00:00","NS",,
"@",,"01:00:00","NS",,
"@",,"01:00:00","NS",,
"@",,"01:00:00","NS",,
"@",,"01:00:00","SOA",,
"230302-ADS","27.2.2025 01:00:00","00:20:00","A","10.10.160.125",
"_gc._tcp.Bugarija._sites","04.3.2025 08:00:00","00:10:00","SRV",,
"_kerberos._tcp.Bugarija._sites","28.2.2025 11:00:00","00:10:00","SRV",,
"_ldap._tcp.Bugarija._sites","04.3.2025 08:00:00","00:10:00","SRV",,
"_gc._tcp.Default-First-Site-Name._sites","01.3.2025 15:00:00","00:10:00","SRV",,
"_gc._tcp.Default-First-Site-Name._sites","02.3.2025 19:00:00","00:10:00","SRV",,
"_gc._tcp.Default-First-Site-Name._sites","03.3.2025 16:00:00","00:10:00","SRV",,
"_kerberos._tcp.Default-First-Site-Name._sites","03.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._tcp.Default-First-Site-Name._sites","01.3.2025 15:00:00","00:10:00","SRV",,
"_kerberos._tcp.Default-First-Site-Name._sites","02.3.2025 08:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites","01.3.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites","02.3.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp.Default-First-Site-Name._sites","03.3.2025 16:00:00","00:10:00","SRV",,
"_gc._tcp.Hrvatska._sites","02.3.2025 06:00:00","00:10:00","SRV",,
"_kerberos._tcp.Hrvatska._sites","02.3.2025 06:00:00","00:10:00","SRV",,
"_ldap._tcp.Hrvatska._sites","02.3.2025 06:00:00","00:10:00","SRV",,
"_gc._tcp.Lafoma._sites","02.3.2025 22:00:00","00:10:00","SRV",,
"_kerberos._tcp.Lafoma._sites","04.3.2025 05:00:00","00:10:00","SRV",,
"_ldap._tcp.Lafoma._sites","02.3.2025 22:00:00","00:10:00","SRV",,
"_gc._tcp.Rusija._sites","28.2.2025 15:00:00","00:10:00","SRV",,
"_kerberos._tcp.Rusija._sites","28.2.2025 15:00:00","00:10:00","SRV",,
"_ldap._tcp.Rusija._sites","28.2.2025 15:00:00","00:10:00","SRV",,
"_gc._tcp.SlovenijaLab._sites","01.3.2025 23:00:00","00:10:00","SRV",,
"_kerberos._tcp.SlovenijaLab._sites","01.3.2025 23:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaLab._sites","01.3.2025 23:00:00","00:10:00","SRV",,
"_gc._tcp.SlovenijaOffice._sites","01.3.2025 23:00:00","00:10:00","SRV",,
"_kerberos._tcp.SlovenijaOffice._sites","01.3.2025 23:00:00","00:10:00","SRV",,
"_ldap._tcp.SlovenijaOffice._sites","01.3.2025 23:00:00","00:10:00","SRV",,
"_gc._tcp.Srbija._sites","04.3.2025 00:00:00","00:10:00","SRV",,
"_kerberos._tcp.Srbija._sites","28.2.2025 06:00:00","00:10:00","SRV",,
"_ldap._tcp.Srbija._sites","04.3.2025 00:00:00","00:10:00","SRV",,
"_gc._tcp.STRUMICA._sites","01.3.2025 17:00:00","00:10:00","SRV",,
"_gc._tcp.STRUMICA._sites","02.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._tcp.STRUMICA._sites","01.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._tcp.STRUMICA._sites","02.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.STRUMICA._sites","02.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp.STRUMICA._sites","01.3.2025 17:00:00","00:10:00","SRV",,
"_gc._tcp","02.3.2025 22:00:00","00:10:00","SRV",,
"_gc._tcp","02.3.2025 23:00:00","00:10:00","SRV",,
"_gc._tcp","26.2.2025 17:00:00","00:10:00","SRV",,
"_gc._tcp","28.2.2025 09:00:00","00:10:00","SRV",,
"_gc._tcp","26.2.2025 14:00:00","00:10:00","SRV",,
"_gc._tcp","26.2.2025 16:00:00","00:10:00","SRV",,
"_kerberos._tcp","01.3.2025 15:00:00","00:10:00","SRV",,
"_kerberos._tcp","03.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._tcp","02.3.2025 17:00:00","00:10:00","SRV",,
"_kerberos._tcp","02.3.2025 08:00:00","00:10:00","SRV",,
"_kerberos._tcp","04.3.2025 05:00:00","00:10:00","SRV",,
"_kerberos._tcp","01.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._tcp","04.3.2025 05:00:00","00:10:00","SRV",,
"_kpasswd._tcp","01.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._tcp","01.3.2025 15:00:00","00:10:00","SRV",,
"_kpasswd._tcp","03.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._tcp","02.3.2025 17:00:00","00:10:00","SRV",,
"_kpasswd._tcp","02.3.2025 08:00:00","00:10:00","SRV",,
"_ldap._tcp","02.3.2025 22:00:00","00:10:00","SRV",,
"_ldap._tcp","01.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp","02.3.2025 19:00:00","00:10:00","SRV",,
"_ldap._tcp","02.3.2025 17:00:00","00:10:00","SRV",,
"_ldap._tcp","03.3.2025 16:00:00","00:10:00","SRV",,
