CURRENT_LOGIN_USER                                                                                                                                                                                                                                              ;COMPUTER_NAME                                                   ;OPERATION_SYSTEM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;SERVICE_PACK                                                    ;IP_ADDR1                          ;MAC_ADDR1        ;IP_ADDR2                          ;MAC_ADDR2        ;BIOS_VERSION                                                                                                                    ;BIOS_SERIALNUMBER                                                                                                               ;MEMORY              ;DISK_TOTAL          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------;--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------;----------------------------------;-----------------;----------------------------------;-----------------;--------------------------------------------------------------------------------------------------------------------------------;--------------------------------------------------------------------------------------------------------------------------------;--------------------;--------------------
rguchakov                                                                                                                                                                                                                                                       ;PCRUS443                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A5033                        ;NULL             ;0xC0A80124                        ;2C-7B-A0-09-17-1C;HPQOEM - 0 V70 Ver. 01.04.00                                                                                                    ;5CG4221WDM                                                                                                                      ;         16794279936;        511168212992
msmirnova                                                                                                                                                                                                                                                       ;PCRUS387                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0xA9FEC195                        ;38-D5-7A-E7-15-6D;0x0A32064D                        ;00-E0-4C-68-03-C1;HONOR - 2 1.15                                                                                                                  ;ARURPM4228000473                                                                                                                ;          7879585792;        511168212992
afedosova                                                                                                                                                                                                                                                       ;PCRUS353                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22621                                                           ;0x0A0A5032                        ;NULL             ;0xC0A80039                        ;38-D5-7A-E3-3B-49;HONOR - 2 1.14                                                                                                                  ;A64LPM3718000922                                                                                                                ;         16469520384;        511194427392
alkchadmin                                                                                                                                                                                                                                                      ;srvaitrdch31                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A2317                        ;00-50-56-B3-5A-4E;0xFE80000000000000041C065415FEF79A;00-50-56-B3-5A-4E;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 73 4f 84 c7 1a ae-c1 a2 0a 8a b5 5e 83 17                                                                          ;        137437908992;        106778587136
alkchadmin                                                                                                                                                                                                                                                      ;srvaitchdv31                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A2316                        ;00-50-56-B3-D9-B7;0xFE80000000000000A18BF46CA0AB757A;00-50-56-B3-D9-B7;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 a1 ad a7 fa 22 99-a0 69 79 2e be 5b ab 6e                                                                          ;         17178828800;        106778587136
adoninska                                                                                                                                                                                                                                                       ;PCANF0089                                                       ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;17763                                                           ;0x0A0A0C28                        ;B8-85-84-C6-05-0A;0xFE8000000000000051C06D4AD8CE0EB1;B8-85-84-C6-05-0A;DELL   - 1072009 1.2.22                                                                                                         ;2KFV5W2                                                                                                                         ;          8376238080;        209154207744
Martina Bogojovska                                                                                                                                                                                                                                              ;4YG6WZ1                                                         ;Windows 7 Professional Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Service Pack 1                                                  ;0x0A0A8012                        ;EC-F4-BB-15-13-38;0xFE80000000000000A5D1083D74A393CF;EC-F4-BB-15-13-38;DELL   - 1072009 BIOS Date: 02/20/14 02:44:09 Ver: A05.00                                                                       ;4YG6WZ1                                                                                                                         ;          4195938304;        500000878592
alkchadmin                                                                                                                                                                                                                                                      ;srvaitchdb41                                                    ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A0A231A                        ;00-50-56-B3-3B-30;NULL                              ;NULL             ;INTEL  - 6040000 VMW71.00V.24224532.B64.2408191458                                                                              ;VMware-42 33 5d 04 98 74 44 3f-f4 2b 9f e2 93 d1 5a 27                                                                          ;         68718436352;        106778587136
aklimevska                                                                                                                                                                                                                                                      ;PCLFLEX2012                                                     ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E0A32                        ;E4-5E-37-9F-50-EC;0x0A1E653E                        ;8C-04-BA-A0-F6-EF;DELL   - 1072009 1.9.1                                                                                                          ;FKFND43                                                                                                                         ;          8361205760;        208357769216
btrajkovski                                                                                                                                                                                                                                                     ;PC001059                                                        ;Windows 11 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;22631                                                           ;0x0A0A0C33                        ;4C-D7-17-7F-CE-D2;0xFE800000000000004B7ACC5E0A026BEE;4C-D7-17-7F-CE-D2;DELL   - 2 1.9.0                                                                                                                ;G2NB924                                                                                                                         ;         16853479424;        209164693504
mmilenkovski                                                                                                                                                                                                                                                    ;PCBMAG0028                                                      ;Windows 10 Enterprise Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;19045                                                           ;0x0A1E0026                        ;64-00-6A-6F-CA-CF;0xFE8000000000000073EBBBFF479B0673;64-00-6A-6F-CA-CF;DELL   - 1072009 1.20.0                                                                                                         ;76S58C2                                                                                                                         ;          8472502272;         97032380416
vboceski                                                                                                                                                                                                                                                        ;srvruswus                                                       ;Windows Server 2022 Standard Edition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;20348                                                           ;0x0A32060E                        ;00-15-5D-06-0B-0D;0xFE800000000000009F237F5A4B652A56;00-15-5D-06-0B-0D;VRTUAL - 1 Hyper-V UEFI Release v4.1                                                                                            ;5189-5214-3199-8726-1092-0144-85                                                                                                ;          4186578944;        106150490112
